time	V(n001)	I(D1)
1.830339199668472e-09	-6.000000e+00	-5.032888e-07
1.840339199668472e-09	-6.000000e+00	-4.289751e-07
1.850339199668472e-09	-6.000000e+00	-3.666569e-07
1.860339199668472e-09	-6.000000e+00	-3.143981e-07
1.870339199668472e-09	-6.000000e+00	-2.705749e-07
1.880339199668472e-09	-6.000000e+00	-2.338256e-07
1.890339199668472e-09	-6.000000e+00	-2.030084e-07
1.900339199668472e-09	-6.000000e+00	-1.771657e-07
1.910339199668472e-09	-6.000000e+00	-1.554946e-07
1.920339199668472e-09	-6.000000e+00	-1.373216e-07
1.940339199668473e-09	-6.000000e+00	-1.093026e-07
1.960339199668473e-09	-6.000000e+00	-8.959918e-08
1.990339199668474e-09	-6.000000e+00	-7.044393e-08
2.020339199668474e-09	-6.000000e+00	-5.914805e-08
2.044624913954189e-09	-6.000000e+00	-5.449181e-08
2.068910628239903e-09	-6.000000e+00	-5.065333e-08
2.093196342525618e-09	-6.000000e+00	-4.763260e-08
2.117482056811333e-09	-6.000000e+00	-4.542962e-08
2.141767771097048e-09	-6.000000e+00	-4.404439e-08
2.166053485382762e-09	-6.000000e+00	-4.347692e-08
2.190339199668477e-09	-6.000000e+00	-4.372719e-08
1.004033919966835e-08	-6.000000e+00	-4.291305e-08
2.028033919966899e-08	-6.000000e+00	-4.291305e-08
2.100000000000000e-08	-6.000000e+00	-4.291305e-08
2.100096608003309e-08	-5.993237e+00	3.308962e-05
2.100289824009927e-08	-5.979712e+00	9.824939e-05
2.100676256023163e-08	-5.952662e+00	2.221554e-04
2.101449120049635e-08	-5.898561e+00	4.463657e-04
2.102449120049636e-08	-5.828562e+00	6.950786e-04
2.103449120049636e-08	-5.758562e+00	9.039572e-04
2.104449120049636e-08	-5.688561e+00	1.079651e-03
2.105449120049636e-08	-5.618562e+00	1.227728e-03
2.106449120049636e-08	-5.548562e+00	1.352844e-03
2.107449120049636e-08	-5.478561e+00	1.458883e-03
2.108449120049636e-08	-5.408562e+00	1.549084e-03
2.109449120049637e-08	-5.338562e+00	1.626141e-03
2.110449120049637e-08	-5.268561e+00	1.692296e-03
2.112449120049637e-08	-5.128561e+00	1.799035e-03
2.114449120049637e-08	-4.988562e+00	1.880732e-03
2.117449120049638e-08	-4.778562e+00	1.972909e-03
2.119734834335352e-08	-4.618562e+00	2.023190e-03
2.122020548621067e-08	-4.458562e+00	2.070727e-03
2.124306262906782e-08	-4.298562e+00	2.115520e-03
2.126591977192496e-08	-4.138562e+00	2.157568e-03
2.128877691478211e-08	-3.978562e+00	2.196873e-03
2.131163405763925e-08	-3.818562e+00	2.233433e-03
2.133449120049640e-08	-3.658562e+00	2.267250e-03
2.138306262906784e-08	-3.318562e+00	2.343311e-03
2.143163405763927e-08	-2.978562e+00	2.430129e-03
2.148020548621071e-08	-2.638562e+00	2.527704e-03
2.152877691478214e-08	-2.298562e+00	2.636036e-03
2.157734834335358e-08	-1.958562e+00	2.755125e-03
2.162591977192501e-08	-1.618562e+00	2.884971e-03
2.167449120049645e-08	-1.278562e+00	3.025574e-03
2.170734834335360e-08	-1.048562e+00	3.130034e-03
2.174020548621074e-08	-8.185616e-01	3.250183e-03
2.177306262906789e-08	-5.885616e-01	3.386021e-03
2.180591977192504e-08	-3.585616e-01	3.537547e-03
2.183877691478219e-08	-1.285616e-01	3.704762e-03
2.187163405763933e-08	1.014384e-01	3.887666e-03
2.190449120049648e-08	3.314384e-01	4.086259e-03
2.191449120049648e-08	4.014384e-01	4.153911e-03
2.192449120049648e-08	4.714384e-01	4.224229e-03
2.194449120049649e-08	6.114384e-01	4.373499e-03
2.195242102899699e-08	6.669472e-01	4.435714e-03
2.196035085749749e-08	7.224560e-01	4.500396e-03
2.196828068599799e-08	7.779648e-01	4.567545e-03
2.197621051449849e-08	8.334736e-01	4.637161e-03
2.198414034299900e-08	8.889824e-01	4.709244e-03
2.199207017149950e-08	9.444912e-01	4.783793e-03
2.200000000000000e-08	1.000000e+00	4.860809e-03
