time	V(n002)	I(D1)
1.734956156619048e-07	2.745395e-01	-5.490791e-04
1.736956156619048e-07	2.104860e-01	-4.209720e-04
1.737956156619049e-07	1.793961e-01	-3.587921e-04
1.738956156619049e-07	1.510674e-01	-3.021347e-04
1.739956156619049e-07	1.261152e-01	-2.522303e-04
1.740956156619049e-07	1.046165e-01	-2.092329e-04
1.741956156619049e-07	8.636652e-02	-1.727331e-04
1.742956156619049e-07	7.103599e-02	-1.420720e-04
1.743956156619049e-07	5.825667e-02	-1.165133e-04
1.744956156619049e-07	4.766593e-02	-9.533185e-05
1.745956156619049e-07	3.892845e-02	-7.785689e-05
1.746956156619049e-07	3.174539e-02	-6.349078e-05
1.747956156619049e-07	2.585677e-02	-5.171355e-05
1.748956156619049e-07	2.104012e-02	-4.208023e-05
1.749956156619049e-07	1.710734e-02	-3.421468e-05
1.750956156619050e-07	1.390088e-02	-2.780176e-05
1.751956156619050e-07	1.128963e-02	-2.257926e-05
1.752956156619050e-07	9.165101e-03	-1.833020e-05
1.753956156619050e-07	7.437876e-03	-1.487575e-05
1.754956156619050e-07	6.034517e-03	-1.206903e-05
1.755956156619050e-07	4.894861e-03	-9.789723e-06
1.756956156619050e-07	3.969728e-03	-7.939456e-06
1.757956156619050e-07	3.218980e-03	-6.437960e-06
1.758956156619050e-07	2.609906e-03	-5.219813e-06
1.759956156619050e-07	2.115876e-03	-4.231753e-06
1.760956156619050e-07	1.715230e-03	-3.430459e-06
1.761956156619050e-07	1.390359e-03	-2.780719e-06
1.762956156619050e-07	1.126964e-03	-2.253928e-06
1.763956156619050e-07	9.134298e-04	-1.826859e-06
1.764956156619051e-07	7.403308e-04	-1.480662e-06
1.765956156619051e-07	6.000188e-04	-1.200038e-06
1.766956156619051e-07	4.862890e-04	-9.725779e-07
1.767956156619051e-07	3.941090e-04	-7.882180e-07
1.768956156619051e-07	3.193979e-04	-6.387957e-07
1.769956156619051e-07	2.588467e-04	-5.176934e-07
1.770956156619051e-07	2.097728e-04	-4.195456e-07
1.771956156619051e-07	1.700014e-04	-3.400027e-07
1.772956156619051e-07	1.377695e-04	-2.755389e-07
1.773956156619051e-07	1.116481e-04	-2.232962e-07
1.774956156619051e-07	9.047904e-05	-1.809581e-07
1.775956156619051e-07	7.332350e-05	-1.466470e-07
1.776956156619051e-07	5.942063e-05	-1.188413e-07
1.777956156619052e-07	4.815378e-05	-9.630755e-08
1.778956156619052e-07	3.902318e-05	-7.804636e-08
1.779956156619052e-07	3.162383e-05	-6.324765e-08
1.780956156619052e-07	2.562747e-05	-5.125493e-08
1.782956156619052e-07	1.683011e-05	-3.366022e-08
1.784956156619052e-07	1.105267e-05	-2.210534e-08
1.787956156619052e-07	5.882154e-06	-1.176431e-08
1.790241870904767e-07	4.087514e-06	-8.175028e-09
1.792527585190481e-07	2.620675e-06	-5.241350e-09
1.794813299476196e-07	1.481638e-06	-2.963275e-09
1.797099013761910e-07	6.704014e-07	-1.340803e-09
1.799384728047625e-07	1.869663e-07	-3.739326e-10
1.801670442333339e-07	3.133248e-08	-6.266491e-11
1.803956156619053e-07	2.034998e-07	-4.069996e-10
2.000000000000000e-07	-3.330669e-16	0.000000e+00
2.000013153014280e-07	4.813669e-06	3.278626e-06
2.000030690366653e-07	1.790923e-05	7.636773e-06
2.000065765071398e-07	6.802365e-05	1.630522e-05
2.000135914480889e-07	2.630612e-04	3.345250e-05
2.000276213299871e-07	1.025310e-03	6.700271e-05
2.000556810937836e-07	3.982362e-03	1.312380e-04
2.001118006213765e-07	1.518558e-02	2.491304e-04
2.001997393523648e-07	4.493372e-02	4.094809e-04
2.002997393523648e-07	9.298157e-02	5.633853e-04
2.003997393523648e-07	1.513506e-01	6.966471e-04
2.004997393523648e-07	2.139318e-01	8.214847e-04
2.005997393523648e-07	2.727112e-01	9.539261e-04
2.006997393523648e-07	3.208117e-01	1.107725e-03
2.007997393523648e-07	3.574497e-01	1.284449e-03
2.008997393523648e-07	3.855547e-01	1.478239e-03
2.009997393523649e-07	4.081493e-01	1.683050e-03
2.010997393523649e-07	4.268150e-01	1.895718e-03
2.012997393523649e-07	4.560445e-01	2.337259e-03
2.013997393523649e-07	4.679801e-01	2.563388e-03
2.016997393523649e-07	4.972031e-01	3.254942e-03
2.019425964952221e-07	5.149036e-01	3.826684e-03
2.021854536380792e-07	5.310507e-01	4.401533e-03
2.024283107809364e-07	5.456442e-01	4.979489e-03
2.026711679237936e-07	5.586842e-01	5.560552e-03
2.029140250666507e-07	5.701707e-01	6.144721e-03
2.031568822095079e-07	5.801036e-01	6.731998e-03
2.033997393523650e-07	5.884830e-01	7.322382e-03
2.040568822095079e-07	6.086426e-01	8.924920e-03
2.047140250666509e-07	6.269803e-01	1.053110e-02
2.053711679237938e-07	6.434961e-01	1.214093e-02
2.060283107809366e-07	6.581901e-01	1.375440e-02
2.066854536380796e-07	6.710621e-01	1.537151e-02
2.073425964952225e-07	6.821122e-01	1.699227e-02
2.079997393523654e-07	6.913405e-01	1.861667e-02
2.097178714810176e-07	7.133003e-01	2.287900e-02
2.114360036096698e-07	7.333324e-01	2.713837e-02
2.131541357383220e-07	7.514369e-01	3.139479e-02
2.148722678669742e-07	7.676137e-01	3.564824e-02
2.165903999956264e-07	7.818628e-01	3.989873e-02
2.183085321242786e-07	7.941843e-01	4.414627e-02
2.200266642529308e-07	8.045782e-01	4.839084e-02
2.231095315319428e-07	8.140062e-01	4.837199e-02
2.261923988109548e-07	8.218897e-01	4.835622e-02
2.292752660899668e-07	8.282286e-01	4.834354e-02
2.323581333689788e-07	8.330230e-01	4.833395e-02
2.354410006479908e-07	8.362729e-01	4.832745e-02
2.385238679270029e-07	8.379781e-01	4.832404e-02
2.416067352060148e-07	8.381389e-01	4.832372e-02
2.503210209203012e-07	8.397105e-01	4.832058e-02
2.590353066345876e-07	8.409578e-01	4.831808e-02
2.677495923488740e-07	8.418806e-01	4.831624e-02
2.764638780631603e-07	8.424789e-01	4.831504e-02
2.851781637774467e-07	8.427529e-01	4.831449e-02
2.938924494917331e-07	8.427025e-01	4.831460e-02
3.026067352060194e-07	8.423276e-01	4.831535e-02
3.200279794381938e-07	8.422914e-01	4.824547e-02
3.228153962600191e-07	8.366027e-01	4.128830e-02
3.256028130818443e-07	8.290150e-01	3.433494e-02
3.283902299036695e-07	8.195282e-01	2.738537e-02
3.311776467254947e-07	8.081423e-01	2.043960e-02
3.339650635473199e-07	7.948573e-01	1.349763e-02
3.367524803691452e-07	7.796732e-01	6.559453e-03
3.395398971909704e-07	7.625900e-01	-3.749230e-04
3.400000000000000e-07	7.592667e-01	-1.518533e-03
3.432409026725705e-07	7.418493e-01	-1.483699e-03
3.464818053451410e-07	7.233476e-01	-1.446695e-03
3.497227080177115e-07	7.037615e-01	-1.407523e-03
3.529636106902820e-07	6.830911e-01	-1.366182e-03
3.562045133628525e-07	6.613364e-01	-1.322673e-03
3.594454160354230e-07	6.384973e-01	-1.276995e-03
3.626863187079935e-07	6.145739e-01	-1.229148e-03
3.636863187079936e-07	6.066778e-01	-1.213356e-03
3.646863187079937e-07	5.973809e-01	-1.194762e-03
3.656863187079937e-07	5.866831e-01	-1.173366e-03
3.666863187079938e-07	5.745844e-01	-1.149169e-03
3.676863187079939e-07	5.610849e-01	-1.122170e-03
3.686863187079940e-07	5.461846e-01	-1.092369e-03
3.696863187079940e-07	5.298834e-01	-1.059767e-03
3.700148901365655e-07	5.238547e-01	-1.047709e-03
3.703434615651369e-07	5.165860e-01	-1.033172e-03
3.706720329937084e-07	5.080772e-01	-1.016154e-03
3.710006044222799e-07	4.983284e-01	-9.966569e-04
3.713291758508513e-07	4.873397e-01	-9.746793e-04
3.716577472794227e-07	4.751109e-01	-9.502217e-04
3.719863187079942e-07	4.616420e-01	-9.232840e-04
3.721148901365657e-07	4.556762e-01	-9.113523e-04
3.722434615651371e-07	4.485425e-01	-8.970851e-04
