V1	I(D1)
Step Information: Temp=25  (Step: 1/6)
2.000000000000000e+00	-6.552115e-07
3.000000000000000e+00	-7.509873e-07
4.000000000000000e+00	-8.355385e-07
5.000000000000000e+00	-9.122459e-07
6.000000000000000e+00	-9.830604e-07
7.000000000000000e+00	-1.049232e-06
8.000000000000000e+00	-1.111617e-06
9.000000000000000e+00	-1.170838e-06
1.000000000000000e+01	-1.227358e-06
1.100000000000000e+01	-1.281540e-06
1.200000000000000e+01	-1.333668e-06
1.300000000000000e+01	-1.383974e-06
1.400000000000000e+01	-1.432649e-06
1.500000000000000e+01	-1.479852e-06
1.600000000000000e+01	-1.525717e-06
1.700000000000000e+01	-1.570360e-06
1.800000000000000e+01	-1.613878e-06
1.900000000000000e+01	-1.656360e-06
2.000000000000000e+01	-1.697880e-06
2.100000000000000e+01	-1.738505e-06
2.200000000000000e+01	-1.778295e-06
2.300000000000000e+01	-1.817302e-06
2.400000000000000e+01	-1.855574e-06
2.500000000000000e+01	-1.893154e-06
2.600000000000000e+01	-1.930081e-06
2.700000000000000e+01	-1.966390e-06
2.800000000000000e+01	-2.002112e-06
2.900000000000000e+01	-2.037278e-06
3.000000000000000e+01	-2.071915e-06
Step Information: Temp=100  (Step: 4/6)
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-2.051556e-06
2.000000000000000e+00	-2.484954e-06
3.000000000000000e+00	-2.848001e-06
4.000000000000000e+00	-3.167978e-06
5.000000000000000e+00	-3.457984e-06
6.000000000000000e+00	-3.725536e-06
7.000000000000000e+00	-3.975425e-06
8.000000000000000e+00	-4.210934e-06
9.000000000000000e+00	-4.434432e-06
1.000000000000000e+01	-4.647693e-06
1.100000000000000e+01	-4.852091e-06
1.200000000000000e+01	-5.048714e-06
1.300000000000000e+01	-5.238439e-06
1.400000000000000e+01	-5.421992e-06
1.500000000000000e+01	-5.599976e-06
1.600000000000000e+01	-5.772901e-06
1.700000000000000e+01	-5.941203e-06
1.800000000000000e+01	-6.105258e-06
1.900000000000000e+01	-6.265394e-06
2.000000000000000e+01	-6.421897e-06
2.100000000000000e+01	-6.575020e-06
2.200000000000000e+01	-6.724987e-06
2.300000000000000e+01	-6.871998e-06
2.400000000000000e+01	-7.016235e-06
2.500000000000000e+01	-7.157858e-06
2.600000000000000e+01	-7.297015e-06
2.700000000000000e+01	-7.433838e-06
2.800000000000000e+01	-7.568450e-06
2.900000000000000e+01	-7.700961e-06
3.000000000000000e+01	-7.831473e-06
Step Information: Temp=125  (Step: 5/6)
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-6.652596e-06
2.000000000000000e+00	-8.069194e-06
3.000000000000000e+00	-9.251776e-06
4.000000000000000e+00	-1.029229e-05
5.000000000000000e+00	-1.123438e-05
6.000000000000000e+00	-1.210293e-05
7.000000000000000e+00	-1.291375e-05
8.000000000000000e+00	-1.367763e-05
9.000000000000000e+00	-1.440234e-05
1.000000000000000e+01	-1.509370e-05
1.100000000000000e+01	-1.575621e-05
1.200000000000000e+01	-1.639341e-05
1.300000000000000e+01	-1.700818e-05
1.400000000000000e+01	-1.760288e-05
1.500000000000000e+01	-1.817948e-05
1.600000000000000e+01	-1.873965e-05
1.700000000000000e+01	-1.928479e-05
1.800000000000000e+01	-1.981615e-05
1.900000000000000e+01	-2.033478e-05
2.000000000000000e+01	-2.084161e-05
2.100000000000000e+01	-2.133748e-05
2.200000000000000e+01	-2.182310e-05
2.300000000000000e+01	-2.229914e-05
2.400000000000000e+01	-2.276617e-05
2.500000000000000e+01	-2.322472e-05
2.600000000000000e+01	-2.367527e-05
2.700000000000000e+01	-2.411826e-05
2.800000000000000e+01	-2.455407e-05
2.900000000000000e+01	-2.498307e-05
3.000000000000000e+01	-2.540558e-05
Step Information: Temp=150  (Step: 6/6)
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.897451e-05
2.000000000000000e+00	-2.306665e-05
3.000000000000000e+00	-2.647039e-05
4.000000000000000e+00	-2.945990e-05
5.000000000000000e+00	-3.216377e-05
6.000000000000000e+00	-3.465482e-05
7.000000000000000e+00	-3.697912e-05
8.000000000000000e+00	-3.916805e-05
9.000000000000000e+00	-4.124413e-05
1.000000000000000e+01	-4.322421e-05
1.100000000000000e+01	-4.512128e-05
1.200000000000000e+01	-4.694560e-05
1.300000000000000e+01	-4.870545e-05
1.400000000000000e+01	-5.040766e-05
1.500000000000000e+01	-5.205790e-05
1.600000000000000e+01	-5.366095e-05
1.700000000000000e+01	-5.522091e-05
1.800000000000000e+01	-5.674130e-05
1.900000000000000e+01	-5.822518e-05
2.000000000000000e+01	-5.967524e-05
2.100000000000000e+01	-6.109383e-05
